"filename", "language", "Properties", "JavaScript", "XML", "PowerShell", "Shell Script", "JSON", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\googleSheetsProvider\GSheetParser.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 6, 7, 90
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\googleSheetsProvider\GSheetProvider.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 16, 7, 135
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\googleSheetsProvider\GroupInitializer.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 12, 7, 150
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\MoodleProvider.js", "JavaScript", 0, 242, 0, 0, 0, 0, 0, 0, 0, 30, 11, 283
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\MoodleScraping.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 17, 3, 74
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleAugmentation.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleGraderAugmentation.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 6, 13, 107
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleGradingAugmentation.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 6, 44
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\moodleProvider\augmentation\MoodleViewPluginAssignSubmissionAugmentation.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\noCodebook\NoCodebook.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 3, 33
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\noCodebook\NoCodebookScheme.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\create\publicPrivate\PublicPrivate.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 5, 38
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\delete\DeleteCodebook.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 7, 53
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\delete\DeleteGroup.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\export\ExportCodebook.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 7, 43
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\export\ExportCodebookJSON.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 4, 37
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\import\ImportCodebook.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 7, 43
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\import\ImportCodebookJSON.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 10, 6, 122
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\read\Buttons.js", "JavaScript", 0, 297, 0, 0, 0, 0, 0, 0, 0, 26, 8, 331
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\read\ReadCodebook.js", "JavaScript", 0, 549, 0, 0, 0, 0, 0, 0, 0, 255, 37, 841
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\update\RenameCodebook.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 6, 7, 77
"c:\Users\gorka\workspace\WacLine\input\app\scripts\codebook\operations\update\UpdateCodebook.js", "JavaScript", 0, 368, 0, 0, 0, 0, 0, 0, 0, 70, 27, 465
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 9, 2, 74
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\AnnotatedContentManager.js", "JavaScript", 0, 359, 0, 0, 0, 0, 0, 0, 0, 86, 27, 472
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\AnnotationBasedInitializer.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 6, 66
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\ContentScriptManager.js", "JavaScript", 0, 320, 0, 0, 0, 0, 0, 0, 0, 92, 30, 442
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\ModeManager.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 5, 13, 116
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\RolesManager.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 7, 67
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\Sidebar.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 3, 12, 91
"c:\Users\gorka\workspace\WacLine\input\app\scripts\contentScript\Toolset.js", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 0, 0, 89, 13, 284
"c:\Users\gorka\workspace\WacLine\input\app\scripts\docxExporter\DocxExporter.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 8, 17, 120
"c:\Users\gorka\workspace\WacLine\input\app\scripts\exporter\reviewModel.js", "JavaScript", 0, 249, 0, 0, 0, 0, 0, 0, 0, 217, 16, 482
"c:\Users\gorka\workspace\WacLine\input\app\scripts\googleSheetsContentScript.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 2, 27
"c:\Users\gorka\workspace\WacLine\input\app\scripts\googleSheets\GoogleSheetClient.js", "JavaScript", 0, 245, 0, 0, 0, 0, 0, 0, 0, 37, 15, 297
"c:\Users\gorka\workspace\WacLine\input\app\scripts\googleSheets\GoogleSheetsClientManager.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 0, 11, 10, 118
"c:\Users\gorka\workspace\WacLine\input\app\scripts\groupManipulation\GroupSelector.js", "JavaScript", 0, 509, 0, 0, 0, 0, 0, 0, 0, 145, 34, 688
"c:\Users\gorka\workspace\WacLine\input\app\scripts\hypothesisGroupContentScript.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 3, 46
"c:\Users\gorka\workspace\WacLine\input\app\scripts\importExport\AnnotationExporter.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 3, 33
"c:\Users\gorka\workspace\WacLine\input\app\scripts\importExport\AnnotationImporter.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 18, 4, 145
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodleAssignmentAddContentScript.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodleContentScript.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 2, 31
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\APISimulation.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 0, 0, 21, 15, 217
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\BackToWorkspace.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleClient.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 11, 131
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleClientManager.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 3, 16, 138
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleFunctions.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\gorka\workspace\WacLine\input\app\scripts\moodle\MoodleUtils.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\gorka\workspace\WacLine\input\app\scripts\options.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\gorka\workspace\WacLine\input\app\scripts\options\Options.js", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 0, 0, 38, 14, 255
"c:\Users\gorka\workspace\WacLine\input\app\scripts\popup.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\gorka\workspace\WacLine\input\app\scripts\popup\Popup.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"c:\Users\gorka\workspace\WacLine\input\app\scripts\scienceDirectContentScript.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 17, 4, 75
"c:\Users\gorka\workspace\WacLine\input\app\scripts\springerContentScript.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 17, 8, 99
"c:\Users\gorka\workspace\WacLine\input\app\scripts\target\TargetManager.js", "JavaScript", 0, 350, 0, 0, 0, 0, 0, 0, 0, 70, 27, 447
"c:\Users\gorka\workspace\WacLine\input\app\scripts\target\formats\HTML.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\gorka\workspace\WacLine\input\app\scripts\target\formats\PDF.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\gorka\workspace\WacLine\input\app\scripts\target\formats\TXT.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\Alerts.js", "JavaScript", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 18, 288
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\AnnotationUtils.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 12, 8, 98
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\ChromeStorage.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 17, 6, 46
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\ColorUtils.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\CryptoUtils.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\DOM.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 14, 10, 105
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\DOMTextUtils.js", "JavaScript", 0, 301, 0, 0, 0, 0, 0, 0, 0, 49, 22, 372
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\DataUtils.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 9, 17, 133
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\DateUtils.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\FileUtils.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 7, 53
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\LanguageUtils.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 55, 14, 148
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\PDFTextUtils.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\RandomUtils.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\SheetUtils.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\gorka\workspace\WacLine\input\app\scripts\utils\URLUtils.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 17, 8, 77
"c:\Users\gorka\workspace\WacLine\input\app\styles\browserStorageSearch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 8, 61
"c:\Users\gorka\workspace\WacLine\input\app\styles\contentScript.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 8, 2, 25
"c:\Users\gorka\workspace\WacLine\input\app\styles\exam.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 10, 44
"c:\Users\gorka\workspace\WacLine\input\app\styles\finalGrade.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\gorka\workspace\WacLine\input\app\styles\groupSelection.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 23, 143
"c:\Users\gorka\workspace\WacLine\input\app\styles\locationManager.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 11, 60
"c:\Users\gorka\workspace\WacLine\input\app\styles\options.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\gorka\workspace\WacLine\input\app\styles\pdfjs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 6, 25
"c:\Users\gorka\workspace\WacLine\input\app\styles\review.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 9, 49
"c:\Users\gorka\workspace\WacLine\input\app\styles\reviewAssistant.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 1, 48
"c:\Users\gorka\workspace\WacLine\input\app\styles\reviewCanvas.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 156, 0, 2, 4, 162
"c:\Users\gorka\workspace\WacLine\input\app\styles\sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 112, 0, 14, 23, 149
"c:\Users\gorka\workspace\WacLine\input\app\styles\slrDataExtraction.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 3, 12
"c:\Users\gorka\workspace\WacLine\input\app\styles\tagWrapper.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 163, 0, 1, 28, 192
"c:\Users\gorka\workspace\WacLine\input\app\styles\textAnnotator.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 47, 0, 6, 9, 62
"c:\Users\gorka\workspace\WacLine\input\app\styles\toolset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\gorka\workspace\WacLine\input\app\styles\userFilter.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\gorka\workspace\WacLine\input\app\styles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\gorka\workspace\WacLine\input\dependencies.ps1", "PowerShell", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\gorka\workspace\WacLine\input\dependencies.sh", "Shell Script", 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 5, 25
"c:\Users\gorka\workspace\WacLine\input\gulpfile.babel.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\gorka\workspace\WacLine\input\input.iml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\gorka\workspace\WacLine\input\package.json", "JSON", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 1, 119
"c:\Users\gorka\workspace\WacLine\input\tasks\build.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\gorka\workspace\WacLine\input\tasks\chromereload.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 17, 6, 43
"c:\Users\gorka\workspace\WacLine\input\tasks\clean.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\gorka\workspace\WacLine\input\tasks\content.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\gorka\workspace\WacLine\input\tasks\default.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\gorka\workspace\WacLine\input\tasks\fonts.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\gorka\workspace\WacLine\input\tasks\images.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\gorka\workspace\WacLine\input\tasks\lib\applyBrowserPrefixesFor.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 31, 4, 54
"c:\Users\gorka\workspace\WacLine\input\tasks\lib\args.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 10, 43
"c:\Users\gorka\workspace\WacLine\input\tasks\locales.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\gorka\workspace\WacLine\input\tasks\manifest.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\gorka\workspace\WacLine\input\tasks\pack.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\gorka\workspace\WacLine\input\tasks\pages.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\gorka\workspace\WacLine\input\tasks\scripts.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 53, 2, 69
"c:\Users\gorka\workspace\WacLine\input\tasks\styles.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 39, 1, 51
"c:\Users\gorka\workspace\WacLine\input\tasks\test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 5, 4, 16
"c:\Users\gorka\workspace\WacLine\input\tasks\version.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 19, 6, 54
"Total", "-", 10842, 85667, 206, 18, 18, 316, 597, 906, 1973, 9570, 6003, 116116